Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2023-06-28,454.85054158378915,96.12844089290786,455.59350243287673,96.46668762655479,448.26296143477714,95.3446909271131,455.3161315917969,95.95519256591797,1495400,439658
2023-06-29,456.4156452649022,95.69942969016932,456.6236960445208,97.68766786227486,449.1247381707192,95.69942969016932,451.5418395996094,97.56391906738281,1133100,456296
2023-06-30,452.49284797721157,98.17442068610589,457.6440549901367,98.81791441973957,449.8974430658083,97.41542054303143,453.8896179199219,98.08367156982422,1967100,1060781
2023-07-03,448.4907585226023,97.8114241743877,450.7097553592408,98.94991308719727,444.7858703014101,97.48966977355092,447.3317565917969,98.45491790771484,1454500,370950
2023-07-05,443.79526533609294,98.2569197185031,453.9688646649351,100.34415692366625,442.81456672282377,98.01767204870583,453.54290771484375,100.16265869140625,1360700,1218785
2023-07-06,446.17270827841674,99.4944127511886,449.6002255498472,100.17091373109069,440.0210014768069,98.80141946532038,447.26239013671875,99.97291564941406,1156700,1020203
2023-07-07,447.2723239034942,99.51091511444942,453.9110053002353,100.81441005271125,444.39454645926287,99.51091511444942,444.7518005371094,100.01416778564453,847200,556366
2023-07-10,444.05713366330616,99.82439681477204,463.0106167542611,101.35888928611344,443.5808352972671,99.82439681477204,460.7679443359375,100.85564422607422,2217700,631418
2023-07-11,462.0778450267429,100.97115053588026,463.29842020847065,103.2811355651146,452.0652522526588,100.97115053588026,460.142822265625,103.23163604736328,1176500,837541
2023-07-12,468.63715478034226,103.94938923541798,474.7598058121202,104.11438763212311,465.6304000741322,102.58814492842733,473.1820068359375,102.65414428710938,1681500,552775
2023-07-13,476.4666335963003,102.71188860866062,479.9000825223216,103.49563095396249,474.9781405014768,102.38189183169142,477.6574401855469,102.94288635253906,1477600,403509
2023-07-14,475.3254500931436,102.9593939492699,482.7480797148097,102.9593939492699,474.7598154627873,101.16915376514625,480.27716064453125,101.65589904785156,1158100,478920
2023-07-17,478.2528283426305,101.46615360934861,488.9600331950609,101.68065907046999,476.7941039445359,100.67416126369591,487.0547790527344,100.7319107055664,1330500,662420
2023-07-18,487.03490786135745,100.64940382785613,493.8720670563994,101.81265003100377,484.752563992793,100.5339049529225,491.62939453125,101.15264892578125,1242700,671038
2023-07-19,500.00466790031857,101.15264131068753,504.19229631507636,101.7548929331038,494.42778533258956,99.66764835344834,496.7200622558594,100.85564422607422,2003800,784394
2023-07-20,494.30870918805647,100.93813832737283,499.5283679359256,101.63113148986612,487.16393030441316,99.65939341002844,488.0074157714844,101.5403823852539,1277000,639078
2023-07-21,493.04840195589503,102.43964377395399,498.0894484919405,104.36188258100218,488.1562289451659,102.18389626554573,488.74169921875,103.92463684082031,4574000,779965
2023-07-24,492.78049891834036,104.0318934283876,494.7453206201506,104.40313983879784,482.1923687894778,103.4378916375575,484.7525634765625,103.94939422607422,1251600,435708
2023-07-25,485.04036073066897,103.72664634611431,496.00558091003865,104.50213884760808,485.04036073066897,103.41314184325161,492.66143798828125,104.12264251708984,1122700,322592
2023-07-26,488.92037058653335,103.99888096536516,494.94378287844813,105.20336917110166,488.12648944348956,103.99888096536516,493.0484313964844,104.78262329101562,1760900,485743
2023-07-27,500.2626821065848,104.95623294681813,501.9198541090748,104.95623294681813,490.9943355023295,103.84847604721067,492.7209777832031,104.09648132324219,1620300,463838
2023-07-28,497.6428752823347,104.96449351012477,509.28287073816875,105.21249877132001,497.6428752823347,102.93084281869626,507.9134826660156,103.58392333984375,1867100,434750
2023-07-31,507.62572363934135,103.58392283126993,510.1958815674552,103.99727248086,504.658670579781,103.18711441530577,507.77459716796875,103.67485809326172,1531100,417394
2023-08-01,506.6433463416876,103.70794162960102,506.6433463416876,104.7826388066795,498.97263447217455,103.58393898027988,504.5991516113281,104.61730194091797,1495700,762489
2023-08-02,497.9207731481978,104.31968571514656,499.4688035356093,105.76638315371953,489.0394492347557,104.02207938492585,494.22930908203125,105.3861083984375,1170300,831317
2023-08-03,491.54007743916014,105.31997102531913,496.4818850944374,106.08052806649664,487.19367303976065,104.75782574895622,493.1675109863281,105.3613052368164,911200,608794
2023-08-04,499.36956514449696,105.58451866537396,504.96628306942534,106.30374155422489,492.46293582986345,104.6751659376212,493.1675109863281,105.179443359375,1179000,801990
2023-08-07,496.5116954135333,105.46051225931484,502.0488765059368,106.386406189632,495.9956650828458,105.40264436052176,501.384033203125,106.2210693359375,784200,1119075
2023-08-08,495.95594480920073,105.50184088659394,497.6032140033671,111.21425152816009,487.36237506018375,104.31968244527164,496.9681091308594,111.07371520996094,987100,1337288
2023-08-09,497.4345002916843,111.06545700785789,499.29015000627743,113.62818585342136,490.29965493530375,110.44544379109935,492.8896484375,112.73536682128906,1081600,957600
2023-08-10,500.1336371357914,113.5455158620059,506.8318554902886,113.57031639033495,494.5170533704488,111.93348152061712,497.623046875,113.00817108154297,1012700,691507
2023-08-11,493.9911176405784,113.08256684493864,499.9351565008803,113.57857738598473,492.4331544084249,112.40468577217564,493.951416015625,112.80976104736328,1005500,490531
