Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2022-02-03,153.01821400643894,207.88724837940197,50.85514846955793,90.03103527963076,153.28327734642585,210.74884763996747,51.11001823439887,90.76975428451917,150.7879720400812,206.64346255703813,50.11785570260289,88.72904461862791,151.12615966796875,209.67901611328125,50.24528884887695,88.89525604248047,1296800,2981100,19260500,1856400
2022-02-04,132.46159079099021,207.86115935853852,49.96311496743537,88.41509149838343,135.26767731489377,215.8805759510782,50.62759030830789,89.24614859769694,128.01939219710212,207.86115935853852,49.507994585553405,87.77564285062022,129.2533416748047,214.1149139404297,50.19977951049805,88.140380859375,8739300,2007900,19675900,1823600
2022-02-07,128.2021966257161,214.11492555258442,50.36362510718296,88.33428711837918,134.02459327987395,214.55851102878233,50.545670489263486,88.99682201124153,126.69404854192297,210.5314163745562,49.79017243120868,87.5470919076954,133.6407012939453,211.0706787109375,50.21798324584961,87.6925277709961,3726000,1192600,14450200,1679200
2022-02-08,132.69010607756974,209.4963471972074,50.11785632999379,87.9557175087011,133.6041386445685,211.044562929721,50.50926012547403,89.13073724188665,130.85290563883302,206.25205392310434,49.79926998802765,87.02770067657748,130.90774536132812,209.9747314453125,50.37272262573242,88.54206848144531,1976900,1938900,15219900,1015200
2022-02-09,131.57499689276906,214.94118887157234,50.80963540745182,89.89485924810488,132.24223682065335,223.48248091875854,51.31937144758346,90.64511807507083,128.4307223520625,212.44491105216176,50.500153431709876,89.81174999159086,130.55128479003906,217.0199737548828,51.237449645996094,90.39349365234375,2177300,2685400,19136700,1280000
2022-02-10,130.01197480123278,214.41933491662127,50.281695873567976,88.74985091176417,131.2367748812915,214.81073538994738,51.00078336013521,89.58782639231791,128.96997841346186,211.21852021540798,49.82657554096697,87.51480804796437,129.2259063720703,212.27096557617188,49.94490432739258,88.10346984863281,1354000,2366700,19730600,2078400
2022-02-11,129.6280723527087,212.27097984614502,49.9449046617756,88.47513030095024,132.57124363806528,212.27097984614502,50.14515872059438,88.6020943473077,129.02480766474844,207.06096419599947,48.94364131226692,86.49213957425188,131.65721130371094,209.64422607421875,49.061973571777344,86.69066619873047,1688100,2591600,20132500,1563200
2022-02-14,131.7852212239179,210.16608924630515,48.615959728743015,87.01468452267969,132.26052210867897,210.26176609779347,48.834419042888435,87.34331732587235,128.23878401401834,205.54753443835276,47.969689610847865,85.26040829395417,130.6609649658203,208.0264129638672,48.4066047668457,85.74642181396484,1499800,2065700,21868400,1652000
2022-02-15,130.77977052181564,209.67028762739253,48.89813007348608,86.86423465071282,132.159954562674,211.48813437817586,49.42606785832886,87.61408660216793,129.7194894846777,206.76521005362483,48.82530915293253,86.40830878702114,130.37759399414062,207.73936462402344,49.39876174926758,87.42430877685547,914600,1755400,17678000,1754400
2022-02-16,130.3684402341089,207.2348988708467,49.27132629581259,87.32709900927739,131.0722351108761,208.53957592731055,49.55349866896954,87.8709710125029,127.90054169948483,206.88699029786756,48.59774670150766,86.19538898477455,129.13449096679688,207.8089599609375,49.38055419921875,87.61408233642578,1011600,1762100,20388700,1812800
