Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2023-09-15,113.95309209401987,113.44999694824219,101.8499984741211,114.4114019700027,113.4800033569336,102.33000183105469,112.48065146768639,111.7300033569336,95.86000061035156,112.80244445800781,112.3499984741211,96.3499984741211,6513200,2703800,9075100
2023-09-18,113.11447581912952,112.19999694824219,95.69000244140625,113.33875779461387,112.37999725341797,96.63999938964844,110.10134378427152,110.06999969482422,94.8499984741211,110.83268737792969,110.77999877929688,95.30000305175781,6052100,2015100,3176400
2023-09-19,110.71567741225412,111.05000305175781,95.29000091552734,112.27587569913527,111.41999816894531,95.30999755859375,109.37000778474643,109.41999816894531,92.7699966430664,112.23686981201172,111.38999938964844,94.16000366210938,6695500,2844200,3644500
2023-09-20,111.07648275198946,110.9000015258789,95.37000274658203,113.74832293872383,112.6500015258789,95.80999755859375,109.21399059142516,110.61000061035156,92.36000061035156,112.78295135498047,111.30000305175781,92.62999725341797,6107300,2336300,3092300
2023-09-21,112.529404566358,110.83999633789062,92.33999633789062,113.0072136401855,111.29000091552734,92.37999725341797,107.01994790171845,105.41000366210938,88.8499984741211,107.02970123291016,105.5,89.08000183105469,4403900,3157800,5326800
2023-09-22,106.88344708350984,105.91000366210938,88.4000015258789,107.83906537475356,106.86000061035156,89.0,105.04046151078394,104.08999633789062,87.13999938964844,105.45001220703125,104.5,87.5,4580200,2064500,4556400
2023-09-25,105.20621636044942,104.80000305175781,87.12999725341797,106.39586983261006,105.93000030517578,87.22000122070312,104.33835586478048,103.94000244140625,85.30999755859375,105.17696380615234,104.4000015258789,86.05999755859375,2987500,2735500,3667400
2023-09-26,105.1769677162293,104.19999694824219,85.62000274658203,105.43050226224929,106.44999694824219,88.73999786376953,102.76840812806991,104.08000183105469,85.33999633789062,103.168212890625,106.3499984741211,88.62000274658203,4001300,3938300,4819200
2023-09-27,103.41199211569311,106.69999694824219,89.55999755859375,104.0750773035661,107.1500015258789,92.94000244140625,100.92542080126634,104.66000366210938,89.55999755859375,101.74452209472656,105.3499984741211,92.08999633789062,5405200,2977500,6709100
2023-09-28,102.15408982308136,105.7300033569336,92.08999633789062,103.61677721912933,107.19000244140625,96.16999816894531,100.70114831981915,104.69000244140625,91.62999725341797,102.74891662597656,106.83999633789062,95.45999908447266,4432700,2542600,7205200
2023-09-29,103.38273410998258,107.0999984741211,97.37000274658203,104.83567550405559,107.47000122070312,97.58000183105469,102.76840812806991,105.97000122070312,93.12999725341797,103.168212890625,106.44999694824219,93.30000305175781,3733800,1906000,5416800
2023-10-02,102.6026302409083,106.4000015258789,92.86000061035156,102.91466987200832,106.62999725341797,96.18000030517578,99.92103710377592,104.06999969482422,91.80000305175781,101.19844818115234,104.66000366210938,94.55000305175781,4503500,1718300,3244900
2023-10-03,100.99368333159411,104.5199966430664,93.66999816894531,103.58751907846609,104.54000091552734,94.36000061035156,100.4378624486376,102.7699966430664,90.23999786376953,102.96343231201172,103.63999938964844,90.94000244140625,4011900,2585500,3026800
2023-10-04,103.36323730974273,104.51000213623047,91.16000366210938,104.59189674198775,105.08999633789062,91.38999938964844,102.14433120939198,102.98999786376953,85.54000091552734,104.36761474609375,104.7699966430664,87.69999694824219,3323200,2099900,5793400
2023-10-05,104.14333800244775,104.43000030517578,88.0999984741211,105.19646719692604,106.6500015258789,88.0999984741211,103.67527479631451,104.11000061035156,80.80000305175781,103.73377990722656,106.41000366210938,84.0,3440300,3132800,9019200
