Date,Open,High,Low,Close,Volume
2023-04-14,90.31028787484769,91.19540322761776,89.51083259424205,90.09139251708984,1176500
2023-04-17,90.60532839055698,91.86162050882255,90.05332663855474,91.6903076171875,1295000
2023-04-18,92.16617988412925,92.44218440248751,91.35720512958946,91.41431427001953,1545800
2023-04-19,91.28106950949864,92.18521646138292,90.89085398086614,91.88066101074219,1110000
2023-04-20,91.77595318681047,91.88064478521548,90.58628253327468,90.814697265625,2158100
2023-04-21,91.19541566553207,91.80452660845172,90.36740207382478,91.72838592529297,1383300
2023-04-24,91.88065708260835,92.4136272831501,91.66175445814332,92.37555694580078,1848100
2023-04-25,91.8521082092568,92.31845714521198,90.53870695529692,90.91940307617188,1057900
2023-04-26,90.22463265692654,91.09070918781158,89.72972555827165,89.82489776611328,1383000
2023-04-27,90.47208124490376,91.02409023006103,89.01592537050634,90.6053237915039,2077500
2023-04-28,90.41498485176463,92.7372246810069,90.25319135839602,92.28038787841797,1764300
2023-05-01,92.08051474195892,92.66107464060575,91.59512704972532,92.05196380615234,1018300
2023-05-02,91.45236657430603,91.96630521057793,89.72972564876108,91.50947570800781,1070400
2023-05-03,92.02343098428348,92.0900522680039,89.49180768055669,89.72022247314453,1396700
2023-05-04,89.90105522685442,90.79569012223135,89.41566743668446,90.49113464355469,1200200
2023-05-05,90.98602345827297,92.08052207208824,90.98602345827297,91.79499816894531,1428300
2023-05-08,91.84259500261302,92.78481233790461,91.58562927886989,92.45170593261719,1406200
2023-05-09,88.84461229730137,89.44421101689214,82.99143061411155,85.95133209228516,4413100
2023-05-10,85.99891814086666,86.2178134884959,82.2014912113538,82.56314849853516,3212800
2023-05-11,82.18245926612586,82.48701470735087,80.96423750122587,81.24024200439453,2048600
2023-05-12,81.0879597170033,81.59238624114778,78.30889044026377,79.14642333984375,3059500
2023-05-15,78.99413560389516,80.4312598630706,78.43261451086944,80.28849792480469,1890700
2023-05-16,79.76503853252673,80.05056240414608,77.18583333394707,77.20487213134766,2548600
2023-05-17,77.50943392299536,78.34695954825908,77.10969901757073,78.29936981201172,2773600
2023-05-18,78.49925108906095,80.75486256107855,78.3564891229544,80.10768127441406,1915500
